,Date,1. open,2. high,3. low,4. close,5. volume,name,ma150,ma100,ma50,ma20
843,2021-09-01,8.7,8.92,8.61,8.82,729538,IMVT,7.436666666666681,8.26610000000003,8.720799999999974,8.788999999999993
843,2021-09-01,18.35,18.585,18.15,18.4,129498,IMXI,16.84166666666667,16.394000000000013,16.906199999999995,17.143500000000024
843,2021-09-01,6.7,7.23,6.7,6.76,25615,INAB,5.512653333333338,6.44638000000001,7.2296179999999985,7.788999999999993
843,2021-09-01,29.77,29.79,29.37,29.74,14773,INBK,42.27366666666667,39.7577,32.993000000000045,29.644500000000022
843,2021-09-01,26.99,26.99,26.99,26.99,256,INBKZ,26.328570666666657,26.564426999999974,26.846928,26.86081999999998
843,2021-09-01,4.77,4.87,3.6,3.77,27469163,INBS,1.6613479999999967,2.094549999999995,2.549799999999998,3.0754999999999977
843,2021-09-01,7.1,7.38,6.67,6.75,638081,INCR,6.94031266666667,7.08215,7.034099999999998,7.1895
843,2021-09-01,76.71,80.3,76.13,77.03,2662261,INCY,70.62333333333338,69.50259999999997,68.82979999999996,72.95150000000011
843,2021-09-01,77.915,77.915,75.635,76.08,128457,INDB,82.19553333333324,81.25599999999982,79.30319999999998,73.01699999999997
843,2021-09-01,10.328,10.58,10.17,10.28,600293,INDI,10.505599999999998,11.895100000000008,11.680000000000007,10.935000000000004
842,2021-09-02,8.9,9.3,8.84,9.26,908709,IMVT,7.412733333333348,8.24780000000003,8.713799999999974,8.782499999999994
842,2021-09-02,18.41,18.5939,18.25,18.34,104097,IMXI,16.861666666666668,16.369800000000012,16.867599999999996,17.058500000000027
842,2021-09-02,6.73,7.22,6.73,7.1,12223,INAB,5.498786666666671,6.41178000000001,7.257217999999998,7.793499999999993
842,2021-09-02,29.8,30.59,29.8,30.59,17580,INBK,42.3536,39.9613,33.307000000000045,29.716500000000018
842,2021-09-02,27.1,27.1,27.1,27.1,156,INBKZ,26.318637333333328,26.550076999999973,26.841127999999998,26.861319999999978
842,2021-09-02,3.55,3.64,3.41,3.41,1264970,INBS,1.6432813333333298,2.068049999999995,2.5131999999999977,3.0129999999999977
842,2021-09-02,7.55,7.75,6.901,7.07,1531006,INCR,6.940512666666669,7.07465,7.056499999999997,7.1985
842,2021-09-02,77.21,77.71,76.09,77.23,855980,INCY,70.65560000000005,69.47379999999997,68.59139999999996,72.53900000000012
842,2021-09-02,76.24,76.64,75.52,75.62,113942,INDB,82.21079999999992,81.3380999999998,79.57919999999999,73.02049999999998
842,2021-09-02,10.36,10.72,10.3101,10.49,546825,INDI,10.486466666666665,11.86270000000001,11.746600000000008,11.036500000000004
841,2021-09-03,9.29,9.325,8.87,9.01,584823,IMVT,7.38506666666668,8.221900000000028,8.699599999999974,8.760999999999994
841,2021-09-03,18.32,18.3608,18.07,18.14,104874,IMXI,16.8748,16.343400000000013,16.835599999999996,16.983500000000028
841,2021-09-03,7.37,8.605,6.8818,8.32,31957,INAB,5.481786666666671,6.372680000000011,7.2838179999999975,7.807999999999993
841,2021-09-03,30.285,30.48,29.9,30.25,15661,INBK,42.4178,40.150099999999995,33.59480000000005,29.73450000000002
841,2021-09-03,27.1,27.1,27.1,27.1,34,INBKZ,26.307970666666662,26.545076999999974,26.829128,26.856319999999975
841,2021-09-03,3.45,3.78,3.35,3.42,1114973,INBS,1.6271559999999965,2.045249999999995,2.4845999999999977,2.9609999999999976
841,2021-09-03,7.21,7.5099,6.84,7.28,593293,INCR,6.937379333333336,7.063167999999999,7.0882999999999985,7.1925
841,2021-09-03,76.91,77.47,76.01,76.09,1043025,INCY,70.68860000000005,69.43669999999999,68.35899999999997,72.08800000000011
841,2021-09-03,75.93,75.965,74.79,75.09,81790,INDB,82.22906666666658,81.4222999999998,79.82259999999998,73.20149999999998
841,2021-09-03,10.51,10.96,10.49,10.72,656639,INDI,10.465199999999998,11.830700000000009,11.829200000000007,11.117500000000003
840,2021-09-07,8.93,9.05,8.54,8.84,504540,IMVT,7.358600000000013,8.198700000000029,8.682999999999975,8.749499999999994
840,2021-09-07,18.06,18.38,18.02,18.08,111421,IMXI,16.88746666666667,16.31690000000001,16.800599999999996,16.895000000000028
840,2021-09-07,8.5,9.485,8.49,8.89,90102,INAB,5.45378666666667,6.32008000000001,7.282217999999998,7.745999999999993
840,2021-09-07,30.21,30.21,29.8,29.87,12897,INBK,42.48066666666667,40.3356,33.895200000000045,29.781500000000023
840,2021-09-07,27.1,27.1,27.1,27.1,29,INBKZ,26.297303999999993,26.529576999999975,26.817128000000004,26.849319999999977
840,2021-09-07,3.45,3.5,3.29,3.36,399508,INBS,1.6111559999999967,2.020749999999995,2.454399999999998,2.905999999999998
840,2021-09-07,7.29,7.34,7.09,7.27,106575,INCR,6.932979333333336,7.049367999999999,7.108499999999999,7.163499999999999
840,2021-09-07,75.78,76.71,74.39,74.7,1107785,INCY,70.73586666666672,69.39169999999999,68.14099999999996,71.59950000000012
840,2021-09-07,75.09,75.83,74.22,74.34,100879,INDB,82.24286666666659,81.4986999999998,80.07139999999998,73.41149999999998
840,2021-09-07,10.8,11.46,10.75,11.13,1288061,INDI,10.44073333333333,11.79000000000001,11.929400000000008,11.155500000000002
839,2021-09-08,8.73,9.03,8.73,8.95,555557,IMVT,7.332666666666681,8.17750000000003,8.668599999999975,8.756499999999994
839,2021-09-08,18.39,18.39,17.68,18.23,178102,IMXI,16.89906666666667,16.29420000000001,16.759399999999992,16.822500000000026
839,2021-09-08,9.5,9.5,8.8935,9.07,17960,INAB,5.421320000000003,6.261180000000009,7.265417999999999,7.636999999999993
839,2021-09-08,29.8644,29.8644,29.1,29.23,19882,INBK,42.55193333333334,40.5283,34.194000000000045,29.85050000000002
839,2021-09-08,27.2,27.2,26.54,26.54,1140,INBKZ,26.286637333333328,26.51407699999998,26.803328000000008,26.844319999999975
839,2021-09-08,3.33,3.6,3.25,3.48,375665,INBS,1.59503133333333,1.9960499999999948,2.4237999999999977,2.853999999999998
839,2021-09-08,7.25,7.63,7.23,7.47,162839,INCR,6.927446000000003,7.035568,7.119299999999999,7.144499999999998
839,2021-09-08,74.42,75.0,73.89,74.06,559901,INCY,70.7775333333334,69.38699999999999,67.96139999999995,71.13100000000011
839,2021-09-08,73.96,74.62,73.35,73.77,108531,INDB,82.26566666666659,81.58399999999979,80.33819999999997,73.57249999999998
839,2021-09-08,11.05,11.18,10.6,11.05,715412,INDI,10.413199999999996,11.751400000000007,12.018000000000006,11.181500000000003
838,2021-09-09,8.94,9.0,8.62,8.96,583699,IMVT,7.306000000000014,8.15790000000003,8.647799999999975,8.754999999999994
838,2021-09-09,18.25,18.39,17.58,17.89,673891,IMXI,16.913733333333337,16.272000000000013,16.706799999999994,16.743000000000027
838,2021-09-09,9.0,9.4,8.5,8.73,39005,INAB,5.38538666666667,6.204180000000009,7.245017999999999,7.4989999999999934
838,2021-09-09,29.4343,29.9984,28.99,28.99,20971,INBK,42.62433333333334,40.738600000000005,34.49780000000005,29.944000000000024
838,2021-09-09,27.28,27.28,27.28,27.28,116,INBKZ,26.279703999999995,26.50417699999998,26.79052800000001,26.867319999999978
838,2021-09-09,3.44,3.57,3.37,3.42,229425,INBS,1.5780206666666634,1.970548999999995,2.390399999999998,2.797499999999998
838,2021-09-09,7.42,7.69,7.3501,7.54,554495,INCR,6.919379333333336,7.022467999999999,7.131899999999999,7.113999999999999
838,2021-09-09,74.18,75.0,72.65,72.69,876964,INCY,70.81760000000006,69.38969999999998,67.78059999999996,70.71900000000011
838,2021-09-09,73.62,74.35,72.74,72.98,107614,INDB,82.29333333333325,81.68979999999979,80.59099999999998,73.79099999999998
838,2021-09-09,10.91,11.23,10.7425,10.97,735424,INDI,10.386066666666665,11.72000000000001,12.114000000000008,11.216500000000002
837,2021-09-10,8.98,8.99,8.62,8.62,462746,IMVT,7.2804000000000135,8.13820000000003,8.626599999999975,8.757499999999993
837,2021-09-10,17.99,18.08,17.6,17.65,118984,IMXI,16.928733333333337,16.25310000000001,16.651799999999994,16.68600000000003
837,2021-09-10,8.95,9.0,8.67,8.89,5628,INAB,5.351120000000003,6.152680000000009,7.214617999999998,7.379999999999994
837,2021-09-10,29.28,29.28,28.05,28.15,31353,INBK,42.71100000000001,40.9532,34.80900000000005,30.050000000000022
837,2021-09-10,27.28,27.28,27.28,27.28,78,INBKZ,26.27117066666666,26.486876999999982,26.76292800000001,26.87081999999998
837,2021-09-10,3.36,3.4407,3.31,3.38,255308,INBS,1.561477999999997,1.9465669999999953,2.3555999999999977,2.748999999999998
837,2021-09-10,7.63,7.89,7.51,7.55,540569,INCR,6.91191266666667,7.010867999999999,7.137899999999998,7.0785
837,2021-09-10,72.72,73.33,70.97,71.12,1186690,INCY,70.87960000000005,69.41469999999998,67.62939999999996,70.3670000000001
837,2021-09-10,73.09,73.63,70.8,70.9,109943,INDB,82.33393333333325,81.8015999999998,80.84579999999997,74.16349999999998
837,2021-09-10,11.09,11.57,11.06,11.21,910288,INDI,10.360066666666663,11.693000000000008,12.206600000000007,11.253500000000003
836,2021-09-13,8.64,8.85,8.3857,8.69,566570,IMVT,7.256266666666681,8.117300000000029,8.618599999999976,8.777499999999993
836,2021-09-13,17.76,17.76,17.25,17.63,129628,IMXI,16.948,16.23620000000001,16.600399999999993,16.650000000000027
836,2021-09-13,9.0,9.0,8.5,8.85,18560,INAB,5.315058000000003,6.09868000000001,7.172817999999999,7.2584999999999935
836,2021-09-13,28.45,29.11,28.45,28.93,30039,INBK,42.80046666666668,41.171400000000006,35.132800000000046,30.210500000000025
836,2021-09-13,27.15,27.15,27.15,27.15,123,INBKZ,26.262637333333327,26.47407699999998,26.737328000000012,26.83681999999998
836,2021-09-13,3.4,3.4,3.22,3.29,245509,INBS,1.5450113333333304,1.9218529999999954,2.3229999999999977,2.690499999999998
836,2021-09-13,7.62,7.7,7.35,7.45,519065,INCR,6.902912666666671,6.999467999999999,7.1442999999999985,7.036999999999999
836,2021-09-13,71.76,72.85,71.15,72.45,1798782,INCY,70.95040000000004,69.44739999999997,67.49719999999996,70.1055000000001
836,2021-09-13,71.43,71.95,70.415,71.43,126295,INDB,82.38419999999992,81.92529999999981,81.12239999999998,74.68299999999998
836,2021-09-13,11.35,11.4,10.82,11.03,734608,INDI,10.33033333333333,11.663300000000008,12.289800000000007,11.272000000000002
835,2021-09-14,8.65,8.66,8.33,8.5,532729,IMVT,7.231600000000014,8.090600000000029,8.603599999999977,8.798999999999994
835,2021-09-14,17.67,17.67,17.1301,17.23,99622,IMXI,16.967133333333333,16.21550000000001,16.548199999999994,16.59200000000003
835,2021-09-14,8.83,9.0,8.7,8.97,13901,INAB,5.278724666666669,6.041280000000009,7.124617999999998,7.123134999999993
835,2021-09-14,29.19,29.3,28.11,28.46,18504,INBK,42.88620000000001,41.3728,35.462200000000045,30.339000000000027
835,2021-09-14,26.9,26.9,26.9,26.9,658,INBKZ,26.254637333333324,26.459176999999976,26.71232800000001,26.829319999999985
835,2021-09-14,3.29,3.4,3.29,3.3,184433,INBS,1.528611999999997,1.8979509999999953,2.290199999999998,2.6344999999999983
835,2021-09-14,7.45,7.55,7.14,7.18,357826,INCR,6.894446000000004,6.986967999999999,7.146099999999999,7.005
835,2021-09-14,72.96,73.03,71.87,72.24,874213,INCY,71.00293333333337,69.45339999999999,67.31499999999997,69.7235000000001
835,2021-09-14,71.47,71.47,69.1,69.43,98356,INDB,82.43119999999992,82.03799999999981,81.41459999999998,75.19699999999997
835,2021-09-14,10.97,11.38,10.97,11.2,764135,INDI,10.30213333333333,11.631300000000008,12.364400000000007,11.287000000000003
834,2021-09-15,8.48,8.6414,8.37,8.53,442423,IMVT,7.208133333333347,8.064700000000027,8.595199999999975,8.838999999999995
834,2021-09-15,17.28,18.3717,17.02,17.16,203665,IMXI,16.9892,16.197900000000008,16.509399999999992,16.56500000000003
834,2021-09-15,8.95,8.95,8.0,8.0,42906,INAB,5.2419246666666695,5.984080000000009,7.067217999999998,6.988634999999993
834,2021-09-15,28.72,28.8,28.32,28.63,15476,INBK,42.984866666666676,41.57809999999999,35.828000000000046,30.502500000000026
834,2021-09-15,26.9,26.9,26.9,26.9,309,INBKZ,26.24530399999999,26.446776999999976,26.69232800000001,26.831819999999986
834,2021-09-15,3.31,3.4508,3.15,3.26,274510,INBS,1.5120453333333301,1.8740509999999952,2.257399999999998,2.5784999999999982
834,2021-09-15,7.2,7.54,7.18,7.44,148767,INCR,6.8887793333333365,6.978167999999999,7.1518999999999995,7.0024999999999995
834,2021-09-15,72.62,73.86,72.54,73.44,1316589,INCY,71.05113333333337,69.45789999999998,67.14639999999997,69.3295000000001
834,2021-09-15,69.44,70.51,68.93,70.26,149371,INDB,82.50086666666658,82.19149999999982,81.75379999999998,75.77949999999997
834,2021-09-15,11.2,11.2,10.22,10.26,1570937,INDI,10.274066666666663,11.599300000000007,12.408600000000005,11.288500000000003
833,2021-09-16,8.47,8.51,8.21,8.49,486446,IMVT,7.183933333333348,8.038000000000029,8.588599999999976,8.878499999999994
833,2021-09-16,17.13,17.26,16.95,17.0,166921,IMXI,17.013066666666667,16.18340000000001,16.479999999999997,16.557000000000027
833,2021-09-16,8.464,8.86,8.09,8.09,24621,INAB,5.21092466666667,5.9367800000000095,7.039617999999998,6.888634999999994
833,2021-09-16,28.64,29.36,28.58,28.9,20491,INBK,43.08840000000001,41.7831,36.17340000000004,30.654500000000024
833,2021-09-16,26.9,26.9,26.9,26.9,70,INBKZ,26.235970666666656,26.434376999999973,26.67432600000001,26.82281999999999
833,2021-09-16,3.21,3.31,3.1601,3.26,110399,INBS,1.4959919999999969,1.8510509999999953,2.225399999999998,2.5274999999999985
